appid,name,type,release_date,required_age,developers,publishers,genres,price,metacritic_score,recommendations,achievements,year,owners_estimate,players_forever,average_playtime,median_playtime,tags,positive_reviews,negative_reviews,release_date_parsed
857500,BLACK BIRD,game,"30 Oct, 2018",0,Onion Games,Onion Games,"Action, Indie",18.0,,,0,2018,"0 .. 20,000",,140,140,"Shoot 'Em Up, Dark Fantasy, Replay Value, Soundtrack, Side Scroller",91,8,2018-10-30
748980,Tico,game,"21 Nov, 2017",0,baKno Games,baKno Games,"Casual, Indie",22.0,,,0,2017,"0 .. 20,000",,0,0,"Indie, Casual",6,1,2017-11-21
1032730,Sticks And Bones,game,"28 Mar, 2019",0,Bold Statement Games,Bold Statement Games,"Action, Adventure, Casual, Indie",6.5,,113.0,0,2019,"20,000 .. 50,000",,0,0,"Adventure, Indie, Action, Casual, Pirates",119,13,2019-03-28
1031660,Mango Cart,game,"25 Mar, 2019",0,AkriGames,AkriGames,"Indie, Simulation, Strategy",4.25,,,0,2019,"0 .. 20,000",,0,0,"Simulation, Strategy, Indie, Trading, Economy",5,3,2019-03-25
651990,The Montana Chronicles: Montana's Croatoa,game,"7 Jul, 2017",0,Austin Boucher,Austin Boucher,"Violent, Casual, Indie, Strategy",2.15,,,0,2017,"0 .. 20,000",,0,0,"Casual, Violent, Strategy, Indie",1,0,2017-07-07
710880,Dark Rising,game,"20 Oct, 2017",0,Clear Light Games,Clear Light Games,"Indie, Strategy",8.5,,,0,2017,"0 .. 20,000",,0,0,"Strategy, Indie, Tower Defense",5,11,2017-10-20
865630,One Hundred Times Me,game,"19 Feb, 2019",0,Retryable,Retryable,"Action, Indie",3.25,,,0,2019,"0 .. 20,000",,0,0,"Action, Indie, Gore, Singleplayer, 2D",8,1,2019-02-19
896240,The Grand Museum VR,game,"20 Jul, 2018",0,Owlgorithm,Owlgorithm LLC,"Adventure, Casual, Indie, Simulation",10.0,,,0,2018,"0 .. 20,000",,0,0,"Adventure, Indie, Casual, Simulation, VR",1,3,2018-07-20
48800,Ship Simulator Extremes,game,"27 Aug, 2010",0,VStep,Paradox Interactive,Simulation,23.0,49.0,1701.0,0,2010,"200,000 .. 500,000",,517,626,"Simulation, Realistic, Naval, Open World, Multiplayer",1150,1112,2010-08-27
426040,Goodnight Butcher,game,"18 Dec, 2015",0,Perfect Square Studios,Perfect Square Studios,Indie,2.5,,,0,2015,"0 .. 20,000",,231,230,"Indie, Horror",30,26,2015-12-18
939740,Qian-Shan Village / 殭屍山莊,game,"1 Aug, 2019",0,The Barking Dog Entertainment,The Barking Dog Entertainment,"Action, Adventure, Indie, RPG, Early Access",18.0,,,0,2019,"0 .. 20,000",,0,0,"Action, RPG, Indie, Early Access, Gore",2,3,2019-08-01
1093670,ATTACK OF THE EVIL POOP,game,"9 Jul, 2019",0,"Ascend Digitally, Alejandro Navarro",Ascend Digitally,"Action, Casual",5.25,,,0,2019,"0 .. 20,000",,0,0,"Action, Casual, Shooter, Memes, Arcade",39,8,2019-07-09
746710,Cypher,game,"20 Feb, 2018",0,Matthew Brown,Matthew Brown,Indie,5.25,,850.0,0,2018,"20,000 .. 50,000",,331,155,"Puzzle, Indie, Difficult, Minimalist, Education",777,77,2018-02-20
252030,Valdis Story: Abyssal City,game,"30 Oct, 2013",0,Endlessfluff Games,Endlessfluff Games,"Action, Indie, RPG",14.5,83.0,2268.0,0,2013,"200,000 .. 500,000",,385,84,"Metroidvania, Action, Platformer, RPG, Indie",2254,434,2013-10-30
677230,Around the Words,game,"8 Aug, 2017",0,3DDUO,Plug In Digital,"Casual, Indie",4.5,,,0,2017,"0 .. 20,000",,0,0,"Indie, Casual",4,6,2017-08-08
241760,Kill to Collect,game,"6 Apr, 2016",0,Pieces Interactive,"HandyGames, Pieces Interactive","Action, Adventure, Indie",9.9,57.0,168.0,0,2016,"50,000 .. 100,000",,144,177,"Action Roguelike, Twin Stick Shooter, Rogue-lite, PvP, Difficult",202,89,2016-04-06
805850,Wrecked,game,"21 May, 2018",0,Marco Amadei,Corvostudio di Amadei Marco,"Action, Free To Play, Massively Multiplayer, Racing, Sports, Strategy",0.0,,,0,2018,"500,000 .. 1,000,000",,79,52,"Free to Play, Racing, Action, Massively Multiplayer, Strategy",1768,513,2018-05-21
213390,Atooms to Moolecules Demo,game,"6 Apr, 2012",0,BitSits Games,BitSits Games,"Indie, Casual",0.0,,,0,2012,"0 .. 20,000",,0,0,"Casual, Indie",10,6,2012-04-06
856560,Black Roses,game,"28 May, 2018",0,Naughty Squirrels,Naughty Squirrels,"Action, Adventure, Casual, Indie, RPG",1.1,,,0,2018,"20,000 .. 50,000",,0,0,"Action, Adventure, RPG, Indie, Casual",1,1,2018-05-28
