appid,review_count,avg_playtime_hours,median_playtime_hours,recommended_rate,release_year,game_name
630900,80,77.520625,19.40833333333333,0.9375,2018,Illwinter's Floorplan Generator
634120,74,3.3353603603603603,2.3583333333333334,0.6216216216216216,2017,Inmates
635900,18,4.074074074074074,2.025,0.6111111111111112,2018,Tunnels of Despair
639270,87,2.546551724137931,0.9,0.9080459770114943,2017,Operation Warcade VR
640050,10,1.4916666666666667,1.125,0.1,2017,Soldiers of the Universe
641910,20,0.6166666666666666,0.3416666666666667,0.4,2018,Bike Rush
642830,22,3.516666666666666,2.283333333333333,0.45454545454545453,2018,Milanoir
643620,76,4.9302631578947365,2.3166666666666664,0.881578947368421,2017,Night Trap - 25th Anniversary Edition
643900,95,25.349122807017544,18.316666666666663,0.9368421052631579,2017,Alvora Tactics
644420,38,1.599561403508772,1.0833333333333335,0.6842105263157895,2018,Xion
644670,85,4.875686274509804,1.2166666666666666,0.5294117647058824,2017,DEUS VULT | Online VR sword fighting
645750,21,6.984920634920635,6.833333333333333,0.9523809523809523,2017,Rule with an Iron Fish - A Pirate Fishing Adventure
646010,14,5.063095238095238,3.525,0.5714285714285714,2018,Golem
646100,6,0.7972222222222222,0.7166666666666667,0.0,2017,Woodlands
648020,12,2.034722222222222,1.6583333333333334,0.5833333333333334,2017,The Fleet
648120,18,14.857407407407408,3.2166666666666663,0.8333333333333334,2017,Pixel Sketch
648510,7,3.1333333333333333,2.7666666666666666,0.8571428571428571,2017,Choice of the Star Captain
650760,37,52.76756756756756,46.583333333333336,0.7567567567567568,2017,侠客风云传前传(Tale of Wuxia:The Pre-Sequel)
650980,5,0.7666666666666666,0.9333333333333332,0.4,2017,Naklua VR
652830,7,0.6476190476190476,0.25,0.5714285714285714,2017,Lost Legends: The Pharaoh's Tomb
652880,10,6.383333333333334,5.575,0.9,2018,Samsara
652890,26,2.0711538461538463,2.2,0.9230769230769231,2019,Vanguard Knights
653190,10,1.455,1.5583333333333333,0.7,2017,spaceBOUND
654470,51,4.182679738562092,1.4,0.5686274509803921,2018,Blood Waves
654710,9,1.4425925925925924,1.4333333333333331,0.3333333333333333,2017,Ashes
655100,43,7.6434108527131785,3.5166666666666666,0.7674418604651163,2017,Oik 3
655370,16,1.66875,0.7666666666666666,0.8125,2017,Train Bandit
656030,59,6.483898305084746,3.3833333333333333,0.7457627118644068,2018,The Lost Legends of Redwall™: The Scout Act 1
656580,5,2.4966666666666666,1.5833333333333333,0.6,2018,Claws of Furry
656740,61,11.386338797814206,7.833333333333333,0.8360655737704918,2019,Cosmonator
656940,8,0.71875,0.4333333333333333,0.625,2017,The Theodore Adventures
659560,6,0.5083333333333333,0.43333333333333335,0.6666666666666666,2017,VITATIO
663670,65,57.25692307692307,4.683333333333334,0.9538461538461539,2019,Killer Queen Black
664060,9,3.087037037037037,2.8833333333333333,0.8888888888888888,2017,Willful
664180,72,19.6375,16.508333333333333,0.9444444444444444,2017,Draw Puzzle 画之谜
664240,8,6.420833333333333,1.65,1.0,2019,RetroWar: 8-bit Party Battle
667240,7,3.0333333333333328,1.7666666666666666,1.0,2017,Vintage Hero
